Base/Vtypes,Mnemonic,Category,V operands,G operands,Description,Src Type,Dst Type (dst_width = src_width),Dst Type (dst_width = 2*src_width),Dst Type (dst_width = src_width / 2),"Dst Vector/Scalar Behavior: vector src,  scalar dst (instruction mask bits = 00, or scalar shape when vtypes is enabled)","Dst Scalar/Vector Behavior: vector dst,  scalar src (src was written previously as a scalar using 00 mask bits)"
Vtypes,VADD,arith,2,0,add,"S/U,F","S/U,F",S/U,ILLEGAL,Reduction,Splat
Base,VADD.X,arith,2,0,add,S/U,S/U,ILLEGAL,ILLEGAL,First Element,Splat
"Base + [F,D]","VFADD.[H,S,D]",arith,2,0,add,F,F,ILLEGAL,ILLEGAL,First Element,Splat
Vtypes,VADDI,arith,1,0,add immediate,S/U,S/U,S/U,ILLEGAL,Reduction,Splat
Base,VADDI.X,arith,1,0,add immediate,S/U,S/U,ILLEGAL,ILLEGAL,First Element,Splat
Base,VPOPC,arith,1,0,count bits set,I,I,ILLEGAL,ILLEGAL,First Element,Splat
Vtypes,VSUB,arith,2,0,subtract,"S/U,F","S/U,F",S/U,ILLEGAL,First Element,Splat
Base,VSUB.X,arith,2,0,subtract,I,I,ILLEGAL,ILLEGAL,First Element,Splat
"Base + [F,D]","VFSUB.[H,S,D]",arith,2,0,subtract,F,F,ILLEGAL,ILLEGAL,First Element,Splat
Vtypes,VSEQ,compare,2,0,"1 if ==, else 0","S/U,F",ן,I,ILLEGAL,First Element,Splat
Base,VSEQ.X,compare,2,0,"1 if ==, else 0",S/U,I,I,ILLEGAL,First Element,Splat
"Base + [F,D]",VFEQ.[H.S.D],compare,2,0,"1 if ==, else 0",F,I,I,ILLEGAL,First Element,Splat
Vtypes,VSGE,compare,2,0,"1 if >=, else 0","S/U,F",I,I,ILLEGAL,First Element,Splat
Base,VSGE.X,compare,2,0,"1 if >=, else 0",S/U,I,I,ILLEGAL,First Element,Splat
"Base + [F,D]","VFLE.[H,S,D]",compare,2,0,"1 if <=, else 0",F,I,I,ILLEGAL,First Element,Splat
Vtypes,VSLT,compare,2,0,"1 if <, else 0","S/U,F",ן,I,ILLEGAL,First Element,Splat
Base,VSLT.X,compare,2,0,"1 if <, else 0",S/U,ן,I,ILLEGAL,First Element,Splat
"Base + [F,D]","VFLT.[H,S,D]",compare,2,0,"1 if <, else 0",F,ן,I,ILLEGAL,First Element,Splat
Vtypes,VSNE,compare,2,0,"1 if <>, else 0","S/U,F",ן,I,ILLEGAL,First Element,Splat
Base,VSNE.X,compare,2,0,"1 if <>, else 0",S/U,ן,I,ILLEGAL,First Element,Splat
"Base + [F,D]","VFNE.[H,S,D]",compare,2,0,"1 if <>, else 0",F,ן,I,ILLEGAL,First Element,Splat
Vtypes,VCVT,convert,1,1,convert type,"S/U,F","F,S/U",ILLEGAL,ILLEGAL,First Element,Splat
"Base + [F,D]","VFCVT.[X,H,S,D].[X,H,S,D]",convert,1,1,convert type,"S/U,F","F,S/U",ILLEGAL,ILLEGAL,First Element,Splat
Vtypes,VSGNJ,copy/sign,2,0,FP sign injection,F,F,ILLEGAL,ILLEGAL,First Element,Splat
"Base + [F,D]","VFSGNJ.[H,S,D]",copy/sign,2,0,FP sign injection,F,F,ILLEGAL,ILLEGAL,First Element,Splat
Vtypes,VSGNJN,copy/sign,2,0,FP inverted sign injection,F,F,ILLEGAL,ILLEGAL,First Element,Splat
"Base + [F,D]","VFSGNJN.[H,S,D]",copy/sign,2,0,FP inverted sign injection,F,F,ILLEGAL,ILLEGAL,First Element,Splat
Vtypes,VSGNJX,copy/sign,2,0,FP xor sign,F,F,ILLEGAL,ILLEGAL,First Element,Splat
"Base + [F,D]","VFSGNJX.[H,S,D]",copy/sign,2,0,FP xor sign,F,F,ILLEGAL,ILLEGAL,First Element,Splat
Vtypes + M,VDIV,divsqrt,2,0,divide,F,F,ILLEGAL,ILLEGAL,First Element,Splat
"Base + M + [F,D]","VFDIV[H,S,D]",divsqrt,2,0,divide,F,F,ILLEGAL,ILLEGAL,First Element,Splat
Vtypes + M,VREM,divsqrt,2,0,partial remainder,F,F,ILLEGAL,ILLEGAL,First Element,Splat
"Base + M + [F,D]","VFREM.[H,S,D]",divsqrt,2,0,partial remainder,F,F,ILLEGAL,ILLEGAL,First Element,Splat
Vtypes + M,VSQRT,divsqrt,1,0,square root,F,F,ILLEGAL,ILLEGAL,First Element,Splat
"Base + M + [F,D]","VFSQRT.[H,S,D]",divsqrt,1,0,square root,F,F,ILLEGAL,ILLEGAL,First Element,Splat
Vtypes,VCLASS,identify FP,1,0,"FP value class (e.g., 0, inf)",F,F,ILLEGAL,ILLEGAL,First Element,Splat
"Base + [F,D]","VFCLASS.[H,S,D]",identify FP,1,0,"FP value class (e.g., 0, inf)",F,F,ILLEGAL,ILLEGAL,First Element,Splat
Vtypes,VL,load,0,1,load vector (unit stride),I,B/F,ILLEGAL,ILLEGAL,First Element,Splat
Base,"VL.[B,H,W,D][U]",load,0,1,load vector (unit stride),I,B,ILLEGAL,ILLEGAL,First Element,Splat
"Base + [F,D]","VFL.[H,S,D]",load,0,1,load vector (unit stride),I,F,ILLEGAL,ILLEGAL,First Element,Splat
Vtypes,VLS,load,0,2,load vector (stride),I,B/F,ILLEGAL,ILLEGAL,First Element,Splat
Base,"VLS.[B,H,W,D][U]",load,0,2,load vector (stride),I,B,ILLEGAL,ILLEGAL,First Element,Splat
"Base + [F,D]","VFLS.[H,S,D]",load,0,2,load vector (stride),I,F,ILLEGAL,ILLEGAL,First Element,Splat
Vtypes,VLX,load,1,1,load vector indexed (gather),I,B/F,ILLEGAL,ILLEGAL,First Element,Splat
Base,"VLX.[B,H,W,D][U]",load,1,1,load vector indexed (gather),I,B,ILLEGAL,ILLEGAL,First Element,Splat
"Base + [F,D]","VFLX.[H,S,D]",load,1,1,load vector indexed (gather),I,F,ILLEGAL,ILLEGAL,First Element,Splat
Vtypes,VLO,load,0,1,load vector ordered,I,B/F,ILLEGAL,ILLEGAL,First Element,Splat
Base,VAND,logical,2,0,bitwise AND,B,B,ILLEGAL,ILLEGAL,Reduction,Splat
Base,VANDI,logical,1,0,bitwise AND with immediate,B,B,ILLEGAL,ILLEGAL,Reduction,Splat
Base,VOR,logical,2,0,bitwise OR,B,B,ILLEGAL,ILLEGAL,Reduction,Splat
Base,VORI,logical,1,0,bitwise OR with immediate,B,B,ILLEGAL,ILLEGAL,Reduction,Splat
Base,VXOR,logical,2,0,bitwise XOR,B,B,ILLEGAL,ILLEGAL,Reduction,Splat
Base,VXORI,logical,1,0,bitwise XOR with immediate,B,B,ILLEGAL,ILLEGAL,Reduction,Splat
Base,VMFIRST,mask,1,0,index of first TRUE lab -> GPR,B,B,ILLEGAL,ILLEGAL,GPR,Splat
Base,VMPOP,mask,1,0,Count lsb of elements -> GPR,B,B,ILLEGAL,ILLEGAL,GPR,Splat
Vtypes + M,VMADD,multiply-add,3,0,Multiply add,"S/U,F","S/U,F","I,F",ILLEGAL,Reduction,Splat
"Base + M + [F,D]","VFMADD.[H,S,D]",multiply-add,3,0,Multiply add,F,F,F,ILLEGAL,First Element,Splat
Vtypes + M,VMSUB,multiply-add,3,0,Multiply subtract,"S/U,F","S/U,F","I,F",ILLEGAL,Reduction,Splat
"Base + M + [F,D]","VFMSUB.[H,S,D]",multiply-add,3,0,Multiply subtract,F,F,F,ILLEGAL,First Element,Splat
Vtypes + M,VMUL,multiply-add,2,0,Multiply,"S/U,F","S/U,F","S/U,F",ILLEGAL,Reduction,Splat
Base + M,VMUL.X,multiply-add,2,0,Multiply,S/U,S/U,ILLEGAL,ILLEGAL,First Element,Splat
"Base + M + [F,D]","VFMUL.[H,S,D]",multiply-add,2,0,Multiply,F,F,ILLEGAL,ILLEGAL,First Element,Splat
Vtypes + M,VMULH,multiply-add,2,0,Multiply - return high half,S/U,S/U,ILLEGAL,S/U,Reduction,Splat
